Rank,Movie,InternationalBox Office,Box Office OfNumber OneMarket,Share OfNumber OneMarket,Number OneMarket
1,Avatar,"$2,029,197,650","$120,511,814",5.9%,Russia (CIS)
2,Ice Age: Dawn of the Dinosaurs,"$663,128,152","$3,853,760",0.6%,Ecuador
3,Harry Potter and the Half-Blood Prince,"$633,124,489","$36,642,167",5.8%,Australia
4,2012,"$591,565,581","$18,628,803",3.1%,Australia
5,Up,"$438,459,213","$6,938,781",1.6%,South Korea
6,Transformers: Revenge of the Fallen,"$434,407,829","$34,859,544",8.0%,Australia
7,The Twilight Saga: New Moon,"$390,934,093","$34,473,641",8.8%,Australia
8,Angels & Demons,"$357,500,000",,,
9,Sherlock Holmes,"$289,409,533",,,
10,Terminator Salvation,"$240,169,323","$820,907",0.3%,Portugal
11,Night at the Museum: Battle of the Smithsonian,"$224,987,342",,,
12,Alvin and the Chipmunks: The Squeakquel,"$223,868,601",,,
13,Fast & Furious,"$208,000,000",,,
14,Inglourious Basterds,"$196,140,670","$2,133,065",1.1%,South Korea
15,X-Men Origins: Wolverine,"$194,942,603",,,
16,Gake no ue no Ponyo,"$190,222,267",,,
17,The Hangover,"$188,441,583",,,
18,Monsters vs. Aliens,"$183,335,854",,,
19,Michael Jackson's This Is It,"$180,000,000",,,
20,Disneyâs A Christmas Carol,"$177,853,834",,,
21,G-Force,"$173,381,071",,,
22,The Princess and the Frog,"$166,596,479","$246,826",0.1%,Lithuania
23,G.I. Joe: The Rise of Cobra,"$152,267,519",,,
24,The Proposal,"$150,751,686",,,
25,Star Trek,"$129,109,595",,,
26,The Final Destination,"$120,906,927","$5,324,433",4.4%,Australia
27,Red Cliff,"$119,000,000",,,
28,The Ugly Truth,"$116,383,693",,,
29,Public Enemies,"$115,178,089",,,
30,Cloudy with a Chance of Meatballs,"$111,957,402","$6,448,099",5.8%,Germany
31,Itâs Complicated,"$111,879,369",,,
32,Knowing,"$106,492,683",,,
33,District 9,"$96,807,196",,,
34,MÃ¤n som hatar kvinnor,"$96,671,919",,,Canada
35,Hannah Montana the Movie,"$89,597,017",,,
36,He's Just Not That Into You,"$87,100,004",,,
37,Invictus,"$87,022,647",,,
38,The Taking of Pelham 123,"$86,912,058",,,
39,Paranormal Activity,"$86,264,224","$7,623,696",8.8%,Australia
40,Earth,"$84,761,741",,,
41,Up in the Air,"$83,019,358",,,
42,Taken,"$81,940,596",,,
43,Surrogates,"$81,090,578",,,
44,Watchmen,"$79,466,451",,,
45,BrÃ¼no,"$78,653,997",,,
46,17 Again,"$75,307,837","$387,751",0.5%,China
47,Planet 51,"$66,802,053","$183,982",0.3%,Argentina
48,Okuribito,"$64,600,000",,,
49,Confessions of a Shopaholic,"$63,750,351",,,
50,Couples Retreat,"$63,244,763","$9,994,104",15.8%,Australia
51,3 Idiots,"$63,000,000","$51,389",0.1%,South Korea
52,JiÃ n gÃºo dÃ  yÃ¨,"$62,995,096",,,
53,Flickan som lekte med elden,"$61,615,330",,,Canada
54,Law Abiding Citizen,"$57,802,054",,,
55,Fame,"$57,772,109",,,
56,The Imaginarium of Doctor Parnassus,"$56,663,000",,,
57,Bride Wars,"$56,434,914",,,
58,Wickie und die starken MÃ¤nner,"$53,049,987",,,
59,State of Play,"$51,814,255",,,
60,My Bloody Valentine,"$51,290,050",,,
61,Did You Hear About the Morgans?,"$50,900,479",,,
62,The Lovely Bones,"$50,780,216",,,
63,Coraline,"$50,750,828",,,
64,The Blind Side,"$49,746,319",,,
65,Inkheart,"$49,352,514",,,
66,Drag Me To Hell,"$49,287,862",,,
67,Hotel for Dogs,"$49,178,625",,,
68,Dragonball Evolution,"$48,865,675",,,
69,My Sister's Keeper,"$47,472,772",,,
70,Ghosts of Girlfriends Past,"$47,262,776",,,
71,Desu Noto 2,"$47,000,000",,,
72,Take Off,"$45,743,246",,,
73,Old Dogs,"$45,612,244",,,
74,Home,"$44,777,735","$22,143,320",49.5%,United Kingdom
75,Coco avant Chanel,"$44,700,000",,,
76,Underworld 3: Rise of the Lycans,"$43,300,000",,,
77,Saw VI,"$42,059,110",,,
78,Pokemon 2009,"$40,952,392",,,
79,Duplicity,"$40,506,741",,,
80,Paul Blart: Mall Cop,"$39,568,572",,,
81,The Time Traveler's Wife,"$38,917,289",,,
82,Race to Witch Mountain,"$37,931,189",,,
83,Orphan,"$37,173,177",,,
84,Gomorra,"$35,760,448",,,
85,The Unborn,"$35,538,402",,,
86,The Men Who Stare at Goats,"$34,920,023",,,
